Request Title,Request Date,Request Status,Device,Quantity Requested,Approval Date
Check in kiosk tablets for new office,10/20/2025,Completed,PixelPulse Stage 346,5,10/21/2025
CyberNest Agency 444 Laptop for the new vendor,10/16/2025,Approved,CyberNest Agency 444,1,10/20/2025
In person trainings - need VoltEdge Buy 750,10/20/2025,Rejected,VoltEdge Buy 750,10,
Need AlphaWave Rate 121 tablet for the field use,10/20/2025,Submitted,AlphaWave Rate 121,1,
Setup conference rooms with SonicSphere Pro 210 speakers,9/28/2025,Completed,SonicSphere Pro 210,4,9/30/2025
Order QuantumLink Edge 512 routers for branch office,9/15/2025,Approved,QuantumLink Edge 512,2,9/18/2025
Provide AeroSync Flex 900 laptops for design team,10/5/2025,Submitted,AeroSync Flex 900,3,
Training lab requires VoltEdge Buy 750 tablets,9/22/2025,Rejected,VoltEdge Buy 750,6,
Marketing event needs PixelPulse Stage 346 tablets,10/10/2025,Approved,PixelPulse Stage 346,8,10/14/2025
Field engineers request AlphaWave Rate 121 tablets,9/30/2025,Completed,AlphaWave Rate 121,5,10/2/2025
Upgrade meeting rooms with SonicSphere Pro 210,9/18/2025,Approved,SonicSphere Pro 210,2,9/20/2025
Urgent laptops for new hires - AeroSync Flex 900,10/12/2025,Submitted,AeroSync Flex 900,4,
Install routers for remote office - QuantumLink Edge 512,9/25/2025,Completed,QuantumLink Edge 512,3,9/27/2025
Check-in kiosks for reception - PixelPulse Stage 346,10/1/2025,Rejected,PixelPulse Stage 346,2,
AlphaWave Rate 121 tablets for training,9/29/2025,Approved,AlphaWave Rate 121,3,10/1/2025
VoltEdge Buy 750 tablets for workshop,10/3/2025,Completed,VoltEdge Buy 750,7,10/5/2025
CyberNest Agency 444 laptops for contractors,9/20/2025,Submitted,CyberNest Agency 444,2,
SonicSphere Pro 210 speakers for auditorium,9/16/2025,Rejected,SonicSphere Pro 210,5,
QuantumLink Edge 512 routers for IT upgrade,10/6/2025,Approved,QuantumLink Edge 512,4,10/8/2025
PixelPulse Stage 346 tablets for HR kiosks,9/14/2025,Completed,PixelPulse Stage 346,6,9/16/2025
AeroSync Flex 900 laptops for dev team,10/8/2025,Approved,AeroSync Flex 900,3,10/10/2025
AlphaWave Rate 121 tablets for field survey,9/19/2025,Submitted,AlphaWave Rate 121,2,
VoltEdge Buy 750 tablets for onboarding,10/2/2025,Rejected,VoltEdge Buy 750,4,
CyberNest Agency 444 laptops for finance,9/21/2025,Completed,CyberNest Agency 444,1,9/23/2025
SonicSphere Pro 210 speakers for event,10/4/2025,Approved,SonicSphere Pro 210,3,10/6/2025
QuantumLink Edge 512 routers for expansion,9/17/2025,Submitted,QuantumLink Edge 512,2,
PixelPulse Stage 346 tablets for new branch,10/9/2025,Rejected,PixelPulse Stage 346,5,
AeroSync Flex 900 laptops for QA team,9/26/2025,Completed,AeroSync Flex 900,2,9/28/2025
AlphaWave Rate 121 tablets for logistics,10/7/2025,Approved,AlphaWave Rate 121,4,10/9/2025
VoltEdge Buy 750 tablets for training center,9/23/2025,Submitted,VoltEdge Buy 750,3,
CyberNest Agency 444 laptops for HR,10/11/2025,Rejected,CyberNest Agency 444,2,
SonicSphere Pro 210 speakers for conference,9/24/2025,Completed,SonicSphere Pro 210,4,9/26/2025
QuantumLink Edge 512 routers for backup,10/13/2025,Approved,QuantumLink Edge 512,1,10/15/2025
PixelPulse Stage 346 tablets for marketing,9/27/2025,Submitted,PixelPulse Stage 346,3,
AeroSync Flex 900 laptops for interns,10/14/2025,Rejected,AeroSync Flex 900,2,
AlphaWave Rate 121 tablets for field ops,9/13/2025,Completed,AlphaWave Rate 121,5,9/15/2025
VoltEdge Buy 750 tablets for sales team,10/15/2025,Approved,VoltEdge Buy 750,6,10/17/2025
CyberNest Agency 444 laptops for support,9/12/2025,Submitted,CyberNest Agency 444,3,
SonicSphere Pro 210 speakers for training,10/16/2025,Rejected,SonicSphere Pro 210,2,
QuantumLink Edge 512 routers for security,9/11/2025,Completed,QuantumLink Edge 512,4,9/13/2025
PixelPulse Stage 346 tablets for reception,10/17/2025,Approved,PixelPulse Stage 346,2,10/19/2025
AeroSync Flex 900 laptops for analytics,9/10/2025,Submitted,AeroSync Flex 900,1,
AlphaWave Rate 121 tablets for survey team,10/18/2025,Rejected,AlphaWave Rate 121,3,
VoltEdge Buy 750 tablets for HR training,9/9/2025,Completed,VoltEdge Buy 750,5,9/11/2025
CyberNest Agency 444 laptops for DevOps,10/19/2025,Approved,CyberNest Agency 444,2,10/20/2025
SonicSphere Pro 210 speakers for auditorium upgrade,9/8/2025,Submitted,SonicSphere Pro 210,3,
QuantumLink Edge 512 routers for branch setup,10/20/2025,Rejected,QuantumLink Edge 512,2,
PixelPulse Stage 346 tablets for kiosk upgrade,9/7/2025,Completed,PixelPulse Stage 346,4,9/9/2025
AeroSync Flex 900 laptops for new hires,10/20/2025,Approved,AeroSync Flex 900,3,10/21/2025
