(Do Not Modify) UX Catalog,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Description,Use Case,UXPageLink,GenUX Image
ccac2409-96a4-f011-bbd2-7ced8d6e48c9,DDTWBOARq/z74tlZmw8dBwWWqdYqHPKNIDGocEgq9Rni90IsDhkdA9U9EzLiXeivgKN6AHueRQGo4lS90/9Iqw==,10/8/2025 22:31,Events Calendar,"An event calendar that lets you discover upcoming company event a glance. Search, add, or edit events while filtering by categories like conference, festival, or marathon. A compact side calendar with color-coded filters.",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
ceac2409-96a4-f011-bbd2-7ced8d6e48c9,XmK6QW88lZ5neP3bAMNsIQq/1uT4o56hCTWW/PDyJKwMM3nFzybNNqQgg/uuRNBbaIWLsD3o4ilmZKlbvnsh5w==,10/8/2025 22:32,Excel Grid View (Include Inline Editing),Create an excel grid like experiece with inline editing,<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
d0ac2409-96a4-f011-bbd2-7ced8d6e48c9,Sudpa1TA0PlYRD4YN+5pEDyjR8SpEq9sONQAR7o/xsCUmjFcdD6OdhMrVfCfg8cxAQWP4zh3H4tcLVH4YufrgA==,10/8/2025 22:29,Gantt Chart,Gantt chart view of tasks with budget filter,<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
d2ac2409-96a4-f011-bbd2-7ced8d6e48c9,F9LnpuL5vQ1iOPbluFuC8DGWkjcjLZsoARkBCjnrQ5gk0ghA0FpNxg7KrgdmlirR2wMEsYHUNmUg+CIlxkgG9Q==,10/8/2025 22:32,Help Desk Dashboard,"A help desk dashboard that lets teams monitor, analyze, and search support tickets at a glance. Top KPIs summarize totals, open/closed/escalated counts, average resolution time, and satisfaction. Interactive charts show ticket volume by category, etc.",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
d4ac2409-96a4-f011-bbd2-7ced8d6e48c9,V+rswcMdCowpTXtZM1W2Dxqs0OgDyu84fUfTaQsreCBMjBWk76R+VksbgsvtpX5qFIBRkcEXIpZ+wzQfUmoesQ==,10/8/2025 22:36,Ideas 💡,"An idea management dashboard to submit, browse, and track ideas. Top KPIs and a yearly chart show new, top-voted, and total ideas at a glance.",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
d6ac2409-96a4-f011-bbd2-7ced8d6e48c9,leHjXPfogRLFzMVtwdpz4HEtxQwirIOtBv4rmt3zrZQHWw7A+t8bp28y5MGGgXwXsYo0JSBYivvEuCOkQH1aLg==,10/8/2025 22:29,Kanban Board,Swim lanes style Kanban board with drag and drop effect,<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
d8ac2409-96a4-f011-bbd2-7ced8d6e48c9,p4JFCLAXhbvkUIlm8lHjTEAnRHgCok/jYb5rrj8CVx674jU1zUMsQ9tcX5QBPMWGwFsmoihmgrp6e8LIfpqbvA==,10/8/2025 22:33,Kudoboard,"Kudoboard is a collaborative appreciation app where teammates can post messages, images, and gifs to celebrate milestones, achievements, and special moments. It creates a shared digital board that captures gratitude and recognition from the team.",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
daac2409-96a4-f011-bbd2-7ced8d6e48c9,bRZ2Wi9bAOUSfreX9kMOSU9cu1+Nt09bBKnoEgK4MTeKHTvS/2GakyPu1aYplxZ9oozWtLnMStqeDrHv2NdvrQ==,10/8/2025 22:29,Modern Hierarchical List UI,"A clean, modern interface that displays items in a list, with the ability to expand or collapse each item to reveal related details. Users can easily navigate the list and access associated information without leaving the page, providing a clear and organ",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
dcac2409-96a4-f011-bbd2-7ced8d6e48c9,cZV14BHssl/zmVqs5tp9JmtqBHTaRBplUE3Dbe6r9dwJ/18c99WgYdk8LAM9OUvFR/L4NoGWSK6Ti1/WlYzqVQ==,10/8/2025 22:34,Project Dashboard,"A project dashboard that visualizes portfolio health at a glance. Donut shows projects by status, bar charts break down task counts by priority and by status/priority. A monthly line chart tracks upcoming task due dates to spot workload spikes.",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
deac2409-96a4-f011-bbd2-7ced8d6e48c9,Qedtd5iGYxpFBjhBH9NDkO2Zn5DZ3YUZu4hLoNzs2Mvjm65ajh/jdxU7IoXR1JwWB50ridY9eQ2pr/qVS1+enw==,10/8/2025 22:34,Quiz Experience,"A quiz app that delivers interactive multiple-choice questions with real-time scoring and progress tracking. Users can see their current score, goal, and how many points they need to pass. The sleek interface highlights selected answers, and more...",<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
e0ac2409-96a4-f011-bbd2-7ced8d6e48c9,08agVTEskZ1p01meBKUoutfE0eHr4y/ngT5oDiWrpSa92bD746f8KnTw38FhsfbwG00ySshU1UgEqW21Uvd1Ng==,10/8/2025 22:30,Tasks Calendar,Monthly calendar view highlighting items due for a month,<Reference to the use case where your gen page belongs>,<Link to the actual gen page for runtime experience>,
